,Año,Trimestre,Periodo,Banda ancha fija (%),Dial up (%),ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%)
34,2014,1,Ene-Mar 2014,2967044.8921999997,1790.4324,1724219.8102656323,1122718.9549352822,70106.91573765808,32995.577400155475,34012.741661272084
33,2014,2,Abr-Jun 2014,3252499.4304,18316.5696,1876576.7867846203,1245527.029095047,75572.94586468677,36634.63605667164,36504.602198974455
32,2014,3,Jul-Sept 2014,3459505.4910000004,19132.509,1959331.0436268654,1355462.1909825995,82014.42172308007,44883.39891537436,36946.94475208069
31,2014,4,Oct-Dic 2014,3926738.354,23702.646,2253484.7396676457,1518404.1215724007,89612.83143340543,46089.40430425357,42849.90302229478
30,2015,1,Ene-Mar 2015,4849077.244,27307.756,2718488.6764426073,1931125.269375511,121724.85346404398,57246.60772052079,47799.5929973172
29,2015,2,Abr-Jun 2015,4679222.4032,22568.5968,2599034.3675102564,1901285.3405090938,104048.3995818484,56616.52816897069,40806.36422983052
28,2015,3,Jul-Sept 2015,5129516.4267,24222.5733,2815538.4106318788,2110673.603923855,120881.67656856429,62817.77737002723,43827.53150567522
27,2015,4,Oct-Dic 2015,5351627.5747,25271.425300000003,2927554.8603217457,2231044.456361793,107145.67626804429,65991.58142466152,45162.42562375525
26,2016,1,Ene-Mar 2016,5908941.8285,27903.1715,3259632.644471343,2412054.3949602423,141276.22052417742,73375.17534205562,50506.56470218127
25,2016,2,Abr-Jun 2016,6504183.4914,30057.5086,3466028.1986335632,2781623.983205796,153766.4910736613,78311.04843747173,54511.27864950725
24,2016,3,Jul-Sept 2016,6884792.232,2764.9768,3622119.799827112,2997159.5398760918,162955.21280375193,78126.38676694024,52081.06072610466
23,2016,4,Oct-Dic 2016,7454792.478,29187.521999999997,3842053.528905675,3313453.4825218953,183774.46398920636,87845.78312066746,56852.741462556296
22,2017,1,Ene-Mar 2017,8667266.3161,3480.4804000000004,4417261.416187348,3901983.0505031995,214552.1324880021,101011.45744398943,66392.94337746142
21,2017,2,Abr-Jun 2017,9641868.1414,3871.4588000000003,4850638.779916023,4407610.267947244,235498.7747385346,111788.86891937509,73110.30847882219
20,2017,3,Jul-Sept 2017,10028753.8074,37244.1926,4720401.523331628,4782486.711624668,252745.06699557524,138700.70304907105,171663.99499905694
19,2017,4,Oct-Dic 2017,11186835.5555,39291.4445,5112680.492811639,5446239.685226033,301577.75739680533,222198.29801814994,143430.76654737312
18,2018,1,Ene-Mar 2018,13126676.0394,44782.9606,5857702.677205936,6524440.911016886,356382.55392119475,270900.56177307776,162032.29608290503
17,2018,2,Abr-Jun 2018,14272212.7589,47254.2411,6280474.549096448,7129575.98755962,399519.5072051542,342989.84071513225,166907.11542364387
16,2018,3,Jul-Sept 2018,15361665.8608,49315.139200000005,6501584.432017717,7824859.097362237,456707.40880396456,454519.5645592716,173310.49725681034
15,2018,4,Oct-Dic 2018,16594429.013799999,43257.9862,6536413.063848953,8470036.831673816,761848.2043381516,518940.6503348319,350448.24980424624
14,2019,1,Ene-Mar 2019,20156895.465,50518.535,7320140.619641807,10363939.987609582,1488658.9133941594,645886.444934775,388788.0344196754
13,2019,2,Abr-Jun 2019,20693334.5168,49783.483199999995,6923007.741130006,10731510.805735955,1761263.4963168714,713092.7833027034,614243.1735144636
12,2019,3,Jul-Sept 2019,21600781.4048,51966.595199999996,6874789.615674692,11340834.097506033,2013482.030947057,799137.9884203319,624504.2674518838
11,2019,4,Oct-Dic 2019,24140247.8988,29003.101199999997,6636786.986794085,13423976.569129989,2587277.0184129043,934931.9332951294,586278.4923678928
10,2020,1,Ene-Mar 2020,29913275.1624,32940.8376,7813970.410045089,16663570.371834498,3560671.5120753353,1197291.2024371042,710712.5036079736
9,2020,2,Abr-Jun 2020,32067163.2764,35312.723600000005,8159875.549405076,17791561.04942102,3934048.5488186544,1338929.0607313253,878061.7916239253
8,2020,3,Jul-Sept 2020,31962247.8105,35197.1895,7742317.5547682345,17986555.68978332,4004311.6231447197,1413312.4063794496,850947.7259242776
7,2020,4,Oct-Dic 2020,33506163.297,33539.703,7757896.978272407,18823404.3229592,4594571.401605819,1477167.0453016968,886663.251860877
6,2021,1,Ene-Mar 2021,36639694.629,36676.371,8268975.6603026,20622086.92418697,5181297.524505253,1651916.4509710434,952094.4400341336
5,2021,2,Abr-Jun 2021,38197603.3663,42063.633700000006,7826162.150756194,21873271.559238166,5707970.933034942,1849228.6479214816,983033.7090492183
4,2021,3,Jul-Sept 2021,42956944.056,42999.944,8316561.676231747,24840385.33278562,6676882.906064434,2099423.067613329,1066691.0173048724
3,2021,4,Oct-Dic 2021,45413325.5356,54561.4644,7184912.450092442,25938616.9166792,8982082.230149802,2267401.0533389887,1094874.3497395657
2,2022,1,Ene-Mar 2022,55523289.0036,66707.99639999999,8022659.525258308,31779127.17503552,11613679.244002994,2855965.0714300037,1318565.9842731683
1,2022,2,Abr-Jun 2022,60269354.703600004,66369.2964,8084267.657329292,32920029.963537224,14993713.85591007,3062532.3373620408,1275180.1858613682
0,2022,3,Jul-Sept 2022,66982168.477,73761.523,8435715.180873396,36468730.50983633,17361070.24354331,3368235.3284805655,1422178.737266399
