,Provincia,level_1,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
43,TIERRA DEL FUEGO,NO,13,14,14.0,14,10,11,13,13,12
37,SANTA CRUZ,NO,22,22,20.0,18,11,12,10,16,5
27,NEUQUEN,NO,44,51,44.0,42,27,41,20,19,25
15,FORMOSA,NO,50,60,63.0,47,21,47,33,4,40
11,CORRIENTES,NO,57,69,77.0,66,8,39,27,33,23
5,CHACO,NO,64,78,91.0,47,17,48,45,46,49
7,CHUBUT,NO,77,79,75.0,77,52,59,36,59,41
19,LA PAMPA,NO,79,71,76.0,39,42,58,20,21,29
21,LA RIOJA,NO,80,71,92.0,64,57,79,58,40,77
45,TUCUMAN,NO,87,108,116.0,97,28,47,57,67,102
33,SAN JUAN,NO,99,107,97.0,96,59,67,68,35,90
31,SALTA,NO,107,120,138.0,53,51,96,85,69,72
25,MISIONES,NO,114,118,143.0,104,57,103,84,94,117
29,RIO NEGRO,NO,140,151,142.0,118,98,108,111,83,94
17,JUJUY,NO,140,145,160.0,116,115,132,124,121,116
13,ENTRE RIOS,NO,147,155,190.0,150,66,116,66,64,172
41,SANTIAGO DEL ESTERO,NO,151,146,164.0,119,74,124,121,86,84
3,CATAMARCA,NO,175,179,181.0,159,125,153,151,149,134
23,MENDOZA,NO,180,192,182.0,133,82,92,136,104,191
39,SANTA FE,NO,213,255,385.0,256,92,209,98,138,322
35,SAN LUIS,NO,219,222,220.0,209,188,201,188,141,211
9,CORDOBA,NO,375,467,551.0,384,212,279,246,264,483
0,BUENOS AIRES,NO,546,556,688.0,458,246,311,353,404,744
